                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0342,                 3.7236,                0.90213,                0.00298,                0.64286,                0.07509,                 0.0339,                 1.3269,                 4.1426,                 1.0032,                 0.0002,                 0.0002,                 0.0002
                      2,                0.93656,                 1.8071,                0.90606,                0.00286,                0.61654,                0.03466,                0.01627,                 1.3595,                 4.0255,                  1.016,             0.00041723,             0.00041723,             0.00041723
                      3,                0.88788,                 1.4134,                 0.8954,                0.61122,                0.01191,                0.17475,                0.10826,                 1.3773,                 3.7552,                 1.0254,             0.00063155,             0.00063155,             0.00063155
                      4,                0.91743,                 1.2667,                0.89765,                0.80559,                0.03123,                0.55782,                0.31573,                 1.4412,                 3.4521,                 1.0522,             0.00084297,             0.00084297,             0.00084297
                      5,                0.92102,                 1.1187,                0.89961,                0.94505,                0.25863,                0.64236,                0.36286,                 1.4884,                 2.8422,                 1.0619,              0.0010515,              0.0010515,              0.0010515
                      6,                0.91671,                 1.0651,                0.90306,                0.90351,                0.54135,                0.66802,                0.37697,                 1.4974,                 2.2019,                 1.0717,              0.0012571,              0.0012571,              0.0012571
                      7,                0.93686,                 1.0091,                0.90492,                0.86157,                0.62406,                0.69673,                 0.3825,                 1.5218,                 1.7447,                 1.0903,              0.0014598,              0.0014598,              0.0014598
                      8,                0.98913,                0.92933,                0.90345,                0.75484,                0.56719,                0.62643,                0.34796,                  1.611,                 1.5549,                 1.1315,              0.0016596,              0.0016596,              0.0016596
                      9,                 1.0038,                0.90525,                0.92378,                0.71059,                0.60921,                0.65664,                0.37115,                 1.5223,                 1.2966,                  1.117,              0.0018565,              0.0018565,              0.0018565
                     10,                 1.0081,                0.81504,                 0.9246,                0.80357,                0.68421,                0.76061,                  0.425,                 1.4921,                 0.9878,                  1.113,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.0273,                0.80268,                 0.9207,                0.79906,                0.66917,                0.72409,                0.40578,                 1.4962,                 1.1788,                  1.089,               0.001868,               0.001868,               0.001868
                     12,                0.99071,                0.74425,                0.92583,                0.84177,                   0.64,                0.74576,                0.40727,                 1.4968,                 1.0225,                 1.1092,              0.0018548,              0.0018548,              0.0018548
                     13,                0.98962,                0.72012,                0.91601,                0.81189,                0.68421,                0.75614,                0.41175,                 1.4608,                 1.0811,                 1.1082,              0.0018416,              0.0018416,              0.0018416
                     14,                0.99984,                 0.7123,                0.91741,                0.75873,                0.71805,                0.76792,                0.41496,                  1.474,                 1.0636,                 1.1124,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.0121,                0.70641,                 0.9109,                0.79866,                0.63158,                0.73387,                0.39704,                 1.5532,                 1.0959,                 1.1311,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.0168,                0.69246,                0.92463,                0.77997,                0.70301,                0.76579,                0.43224,                 1.4794,                0.98363,                 1.1107,               0.001802,               0.001802,               0.001802
                     17,                 1.0067,                0.68931,                0.91462,                 0.8272,                0.64788,                0.76379,                0.42267,                   1.47,                0.95052,                 1.1276,              0.0017888,              0.0017888,              0.0017888
                     18,                  1.031,                0.69812,                 0.9348,                 0.8567,                0.62929,                0.74848,                0.41231,                 1.4995,                 1.0505,                 1.1316,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.0028,                0.68412,                0.92139,                0.82437,                0.60526,                0.67806,                0.36819,                 1.6424,                 1.2286,                 1.1838,              0.0017624,              0.0017624,              0.0017624
                     20,                0.98949,                0.64697,                0.92786,                0.74964,                0.60786,                0.65436,                0.37368,                 1.5816,                  1.319,                 1.1409,              0.0017492,              0.0017492,              0.0017492
                     21,                0.96148,                0.65494,                0.91502,                0.85322,                0.59003,                0.72745,                0.41203,                 1.5159,                 1.0836,                 1.1135,               0.001736,               0.001736,               0.001736
                     22,                 1.0091,                0.66083,                0.92269,                0.76632,                0.62406,                0.69565,                0.38077,                 1.5653,                 1.1785,                 1.1364,              0.0017228,              0.0017228,              0.0017228
                     23,                0.99222,                0.64477,                0.90704,                0.87342,                0.68045,                0.78076,                0.43515,                 1.5158,                 1.0113,                 1.1273,              0.0017096,              0.0017096,              0.0017096
                     24,                0.95748,                0.62321,                0.90256,                0.85036,                0.70677,                0.77924,                0.43436,                 1.4962,                 1.0008,                 1.1227,              0.0016964,              0.0016964,              0.0016964
                     25,                0.95763,                0.61533,                0.91739,                0.86761,                0.64055,                0.74083,                0.40188,                 1.5558,                 1.0235,                 1.1614,              0.0016832,              0.0016832,              0.0016832
                     26,                0.97335,                 0.6157,                0.91092,                0.80667,                0.68421,                0.73443,                0.40962,                 1.5213,                0.95701,                 1.1695,                0.00167,                0.00167,                0.00167
                     27,                0.95054,                0.61421,                0.91127,                0.84649,                0.61654,                0.73148,                0.41415,                 1.5408,                  1.082,                  1.153,              0.0016568,              0.0016568,              0.0016568
                     28,                0.99921,                0.63629,                0.92522,                0.80373,                0.66197,                0.75223,                0.42006,                 1.5452,                0.98565,                 1.1209,              0.0016436,              0.0016436,              0.0016436
                     29,                0.99155,                0.62475,                0.90715,                0.82191,                0.71136,                 0.7817,                 0.4494,                 1.4978,                0.98077,                 1.1282,              0.0016304,              0.0016304,              0.0016304
                     30,                0.95254,                0.61249,                0.91223,                0.85153,                0.66917,                0.77507,                0.43583,                 1.4996,                0.96972,                 1.1382,              0.0016172,              0.0016172,              0.0016172
                     31,                0.94426,                0.60442,                0.90288,                0.82673,                0.70677,                0.78932,                0.43302,                 1.4768,                0.94841,                 1.1349,               0.001604,               0.001604,               0.001604
                     32,                0.96666,                 0.6101,                0.91104,                0.77949,                0.70301,                  0.763,                0.40766,                 1.4922,                 1.0452,                 1.1382,              0.0015908,              0.0015908,              0.0015908
                     33,                0.96107,                  0.614,                0.91734,                0.77078,                0.71805,                0.77288,                0.44018,                 1.4843,                0.99191,                 1.1424,              0.0015776,              0.0015776,              0.0015776
                     34,                0.93075,                0.57887,                0.88899,                0.81427,                0.71429,                 0.7838,                0.44716,                 1.4696,                0.99884,                 1.1168,              0.0015644,              0.0015644,              0.0015644
                     35,                0.95131,                0.59333,                0.90631,                0.85816,                0.68237,                0.78235,                0.45166,                 1.4544,                 1.0195,                  1.123,              0.0015512,              0.0015512,              0.0015512
                     36,                0.94301,                0.60283,                 0.9067,                  0.804,                0.71053,                 0.7567,                0.42753,                 1.5279,                 1.0199,                 1.1365,               0.001538,               0.001538,               0.001538
                     37,                0.96023,                0.59698,                0.90981,                  0.836,                0.67076,                0.75183,                0.41671,                 1.5734,                 1.0557,                 1.1735,              0.0015248,              0.0015248,              0.0015248
                     38,                0.93669,                0.59069,                0.91486,                0.90142,                 0.6188,                0.77276,                0.42584,                 1.5604,                 1.0371,                 1.1597,              0.0015116,              0.0015116,              0.0015116
                     39,                0.93244,                0.58051,                0.90789,                0.80134,                0.69173,                0.76061,                0.42001,                 1.5582,                0.95891,                 1.1553,              0.0014984,              0.0014984,              0.0014984
                     40,                0.89088,                0.55257,                0.89114,                0.85729,                0.67749,                0.76737,                0.42334,                  1.586,                 1.0032,                 1.1726,              0.0014852,              0.0014852,              0.0014852
                     41,                 0.9633,                0.58864,                 0.9122,                0.80303,                0.67669,                0.76035,                0.41915,                 1.5354,                 1.0439,                 1.1505,               0.001472,               0.001472,               0.001472
                     42,                0.93142,                 0.5739,                0.90239,                0.86184,                0.62782,                0.74945,                0.41315,                  1.538,                 1.0481,                 1.1488,              0.0014588,              0.0014588,              0.0014588
                     43,                0.85388,                0.54537,                0.88963,                0.82509,                0.66917,                0.75048,                0.40896,                 1.5698,                 1.0192,                 1.1564,              0.0014456,              0.0014456,              0.0014456
                     44,                0.93314,                0.58489,                0.90284,                0.78893,                0.70259,                0.76062,                0.42469,                 1.5537,                 1.0247,                 1.1448,              0.0014324,              0.0014324,              0.0014324
                     45,                0.90129,                0.56638,                0.89915,                0.89158,                0.64286,                0.77577,                0.43746,                 1.5212,                 1.0047,                 1.1483,              0.0014192,              0.0014192,              0.0014192
                     46,                0.90478,                0.57519,                  0.893,                0.79762,                0.69925,                0.76591,                0.44366,                  1.517,                 1.0394,                 1.1577,               0.001406,               0.001406,               0.001406
                     47,                0.90219,                0.55953,                0.89936,                0.77078,                0.72058,                 0.7858,                0.43706,                  1.523,                 1.0074,                 1.1651,              0.0013928,              0.0013928,              0.0013928
                     48,                 0.8592,                0.53606,                0.88847,                0.85386,                0.64662,                0.74943,                0.41581,                 1.5559,                 1.0782,                 1.1644,              0.0013796,              0.0013796,              0.0013796
                     49,                 0.8876,                0.55904,                0.89329,                0.85031,                0.66165,                0.74518,                0.41687,                 1.6159,                 1.1149,                 1.1682,              0.0013664,              0.0013664,              0.0013664
